"year" "vOutput" "vVarInput" "qLabor" "pLabor" "pOutput" "pVarInput" "land"
"1" "75/76"  91119.6 45934.20 1.44  8287.50  96.30739  82.53425 23.40
"2" "76/77"  96654.8 53433.60 1.45 14036.00 100.39653  88.08132 24.20
"3" "77/78" 105253.5 52910.67 1.44 18444.88  98.40646  87.03622 24.69
"4" "78/79" 111173.3 57542.10 1.48 15863.74  94.87424  87.99021 24.91
"5" "79/80" 116578.8 60979.68 1.48 16329.89  98.95358  94.15868 24.91
"6" "80/81" 118581.0 65698.92 1.47 16904.10 100.00000 100.00000 25.23
"7" "81/82" 133799.2 72366.63 1.45 18655.20 107.95849 107.45512 25.91
"8" "82/83" 138420.1 71105.86 1.49 19347.65 107.42224 109.74757 25.97
"9" "83/84" 129752.5 71284.58 1.48 18381.40 107.43714 111.38610 25.18
"10" "84/85" 133687.0 72604.95 1.53 19813.20 104.57299 111.96210 26.07
"11" "85/86" 135643.6 74313.52 1.53 19376.38  99.69450 108.90375 26.77
"12" "86/87" 145407.2 77363.30 1.69 21193.48  94.37221 101.66481 29.87
"13" "87/88" 146030.3 80388.24 1.70 22059.82  92.71561 100.32702 31.11
"14" "88/89" 164587.5 83694.00 1.67 21801.41  97.04684 104.90524 32.19
"15" "89/90" 166646.2 79367.36 1.65 22514.29 101.32383 107.69231 31.52
"16" "90/91" 153661.6 77085.84 1.61 24972.67  94.50102 107.24638 31.88
"17" "91/92" 161964.7 78584.22 1.62 27018.33  97.86151 112.15162 33.54
"18" "92/93" 156788.3 78394.16 1.62 26879.33  89.30754 111.70569 35.06
"19" "93/94" 162410.4 81522.35 1.62 28604.33  86.04888 111.48272 37.31
"20" "94/95" 177688.3 87406.41 1.62 31293.17  89.20570 113.48941 39.39
